Company Name,Industry,Size (Revenue),Size (Employees),SAP Usage,Compliance Pressure,Decision Maker Title,LinkedIn Search Query,Key Notes
Lear Corporation,Automotive / EV Supplier,$20B,"165,000",SAP S/4HANA (seating + e-systems divisions),LOW,"SVP E-Systems / VP Global Manufacturing","Lear Corporation (""SVP E-Systems"" OR ""VP Manufacturing"") SAP","Wiring harnesses for EV battery packs = indirect exposure."
Tenneco,Automotive / EV Supplier,$18B,"78,000",SAP S/4HANA (post-Federal-Mogul merger),LOW,"Chief Operating Officer / CIO","Tenneco (COO OR CIO) Electrification SAP","Traditional supplier pivoting to EV. DPP = future-proofing."
Hyundai Mobis,Automotive / EV Supplier,$36B,"32,000",SAP S/4HANA (Hyundai Group standard),HIGH,"Head of European Operations / CIO","""Hyundai Mobis"" (""Head of Europe"" OR CIO) SAP","Korean Tier-1. EU Hyundai/Kia plants need DPP support."
Vitesco Technologies (ex-Continental Powertrain),Automotive / EV Supplier,$9B,"40,000",SAP S/4HANA (Continental legacy system),CRITICAL,"Chief Technology Officer / Head of Operations","""Vitesco Technologies"" (CTO OR ""Head of Operations"") SAP","Spun out to focus on EV. DPP = core competency."
Marelli (formerly Magneti Marelli + Calsonic Kansei),Automotive / EV Supplier,$13B,"62,000",SAP S/4HANA (post-merger integration ongoing),MEDIUM,"CEO (Beda Bolzenius) / CIO","Marelli (CEO OR CIO OR ""Beda Bolzenius"") SAP","Japanese-Italian merger. EU plants = DPP needed."
Webasto,Automotive / EV Supplier,$4B,"16,000",SAP S/4HANA (German mid-cap standard),HIGH,"Head of EV Solutions / CTO","Webasto (CTO OR ""Head of EV Solutions"") SAP","Battery system integrator. DPP needed for OEM contracts."
Mahle,Automotive / EV Supplier,$12B,"72,000",SAP S/4HANA (German automotive standard),MEDIUM,"Head of E-Mobility / SVP IT","Mahle (""SVP IT"" OR ""E-Mobility Head"") SAP","German Tier-1. Thermal management for batteries = traceability need."
Hella (now Forvia Hella),Automotive / EV Supplier,$8B,"36,000",SAP S/4HANA (Forvia Group ERP),MEDIUM,"Managing Partner / CIO","""Forvia Hella"" (CIO OR ""Managing Partner"") SAP","Lighting leader. Electronics = component traceability."
Aisin (Toyota Group),Automotive / EV Supplier,$31B,"110,000",SAP S/4HANA (Toyota Group aligned),MEDIUM,"GM Overseas Operations / CIO","Aisin (CIO OR ""GM Overseas"") SAP Toyota","Toyota's main supplier. EU Toyota plants need DPP support."
JTEKT (steering / bearings),Automotive / EV Supplier,$12B,"50,000",SAP S/4HANA (Toyota Group legacy),LOW,"VP International Operations / CIO","JTEKT (CIO OR ""VP International"") SAP","Japanese Tier-1. Limited EU exposure but growing."
Autoliv,Automotive / EV Supplier,$9B,"65,000",SAP S/4HANA (safety systems focus),LOW,"SVP Operations / CIO","Autoliv (CIO OR ""SVP Operations"") SAP","Safety leader. Battery safety sensors = niche DPP use case."
Apple Inc.,Electronics Manufacturing,$394B,"164,000",SAP S/4HANA (supply chain modules - not financials),CRITICAL,"VP Operations (Sabih Khan) / VP Environment (Lisa Jackson)","Apple (""VP Operations"" OR ""VP Environment"" OR ""Sabih Khan"")","Apple doesn't use SAP publicly, but supply chain vendors do. Approach via supplier mandate."
Samsung Electronics,Electronics Manufacturing,$240B,"267,000",SAP S/4HANA (Samsung Group standard),CRITICAL,"Head of European Operations / CIO Mobile Division","""Samsung Electronics"" (""Head of Europe"" OR ""CIO Mobile"") SAP","Galaxy phones = DPP needed for EU sales."
Dell Technologies,Electronics Manufacturing,$103B,"133,000",SAP S/4HANA (enterprise-wide ERP),HIGH,"SVP Global Operations / Chief Supply Chain Officer","Dell (CSCO OR ""SVP Global Operations"") SAP","Laptop batteries = DPP needed for EU right-to-repair."
HP Inc.,Electronics Manufacturing,$63B,"51,000",SAP S/4HANA (post-HPE split),HIGH,"Chief Supply Chain Officer / VP Sustainability","""HP Inc"" (CSCO OR ""VP Sustainability"") SAP","Sustainability leader. DPP aligns with ESG goals."
Lenovo,Electronics Manufacturing,$62B,"77,000",SAP S/4HANA (global rollout 2019-2022),HIGH,"SVP Global Supply Chain / CIO","Lenovo (CIO OR ""SVP Supply Chain"") SAP","Chinese PC leader. EU compliance = market access."
Siemens (Industrial Automation / Energy Management),Electronics Manufacturing,$75B,"311,000",SAP S/4HANA (Siemens is SAP's development partner),MEDIUM,"Head of Digital Industries / CTO","Siemens (CTO OR ""Head of Digital Industries"") SAP","Siemens and SAP are strategic partners. High credibility potential."
ABB,Electronics Manufacturing,$30B,"105,000",SAP S/4HANA (Swiss engineering standard),MEDIUM,"Head of Electrification / CIO","ABB (CIO OR ""Head of Electrification"") SAP","Energy storage = DPP for grid-scale batteries."
Schneider Electric,Electronics Manufacturing,$35B,"150,000",SAP S/4HANA (French corporate ERP),MEDIUM,"EVP Energy Management / Chief Digital Officer","""Schneider Electric"" (CDO OR ""EVP Energy Management"") SAP","French sustainability leader. DPP = competitive advantage."
Flex Ltd. (formerly Flextronics),Electronics Manufacturing,$26B,"160,000",SAP S/4HANA (contract manufacturer standard),HIGH,"Chief Supply Chain Officer / CIO","Flex Flextronics (CSCO OR CIO) SAP","Contract manufacturer. DPP = service offering to OEM customers."
Jabil Inc.,Electronics Manufacturing,$35B,"260,000",SAP S/4HANA (global ERP),HIGH,"EVP Operations / Chief Procurement & Supply Chain Officer","Jabil (EVP OR ""Chief Procurement"") SAP","Contract manufacturer. DPP = value-add service for EU customers."
